country_code,rank,bgg_id,avg_rating,bayes_rating,num_ratings
ir,1,224517,8.92477,8.87832,111
ir,2,182028,8.88727,8.79582,55
ir,3,291457,8.91929,8.74254,28
ir,4,310885,8.95652,8.74143,23
ir,5,220308,8.89548,8.71382,27
ir,6,322049,9.22222,8.68254,9
ir,7,28720,8.90000,8.64720,19
ir,8,323309,9.60000,8.64118,5
ir,9,167791,8.67319,8.63301,119
ir,10,193738,8.65494,8.59514,79
ir,11,294484,9.05000,8.57994,10
ir,12,115746,8.86250,8.56969,16
ir,13,246900,9.33333,8.55599,6
ir,14,184267,8.77143,8.54978,21
ir,15,167355,8.93333,8.54594,12
ir,16,237182,8.59437,8.53423,77
ir,17,84876,8.58207,8.52139,76
ir,18,169786,8.54107,8.50319,121
ir,19,251247,8.71450,8.48659,20
ir,20,96848,8.82308,8.47394,13
ir,21,161533,8.67619,8.46100,21
ir,22,198928,8.79167,8.42026,12
ir,23,266810,8.47661,8.40510,62
ir,24,216132,8.57083,8.38723,24
ir,25,229853,8.55318,8.35511,22
ir,26,199792,8.49290,8.35247,31
ir,27,341169,8.70833,8.34633,12
ir,28,271320,8.77000,8.33701,10
ir,29,205896,8.42234,8.33043,47
ir,30,125153,8.50186,8.29847,21
ir,31,248918,8.82225,8.28999,8
ir,32,276025,8.54719,8.28184,16
ir,33,342942,8.41923,8.25737,26
ir,34,357653,8.63636,8.25423,11
ir,35,256960,8.43095,8.23237,21
ir,36,233078,8.41000,8.22892,23
ir,37,173346,8.25372,8.22818,163
ir,38,286891,8.42381,8.22571,21
ir,39,12333,8.29298,8.22015,57
ir,40,187645,8.38200,8.21618,25
ir,41,273330,9.04000,8.21214,5
ir,42,284378,8.38500,8.18045,20
ir,43,172386,8.35681,8.17904,23
ir,44,177736,8.31897,8.17803,29
ir,45,244271,8.68750,8.17683,8
ir,46,102680,8.28879,8.16551,33
ir,47,251219,8.61111,8.16003,9
ir,48,269385,8.56600,8.16003,10
ir,49,224783,8.52970,8.12853,10
ir,50,161970,8.23750,8.11288,32
ir,51,245638,8.28019,8.09183,21
ir,52,329082,8.32353,8.09093,17
ir,53,121921,8.43818,8.08019,11
ir,54,174430,8.15417,8.07238,48
ir,55,274364,8.42727,8.07061,11
ir,56,266964,8.49556,8.06123,9
ir,57,285967,8.25500,8.05967,20
ir,58,297562,8.61429,8.05682,7
ir,59,232405,8.21318,8.03717,22
ir,60,253344,8.66667,8.02451,6
ir,60,313010,8.66667,8.02451,6
ir,62,265188,8.63333,7.99794,6
ir,63,213893,8.23125,7.99341,16
ir,64,266192,8.01924,7.99022,131
ir,65,146910,8.53100,7.98845,7
ir,66,203993,8.24657,7.97659,14
ir,67,163068,8.20625,7.97059,16
ir,68,198830,8.38889,7.97003,9
ir,69,256916,8.34000,7.96395,10
ir,70,236457,7.99464,7.96050,110
ir,71,176189,8.20667,7.95671,15
ir,72,126163,8.01694,7.95647,62
ir,73,283948,8.70000,7.95166,5
ir,74,188834,8.00067,7.95079,75
ir,75,233398,8.20714,7.94104,14
ir,76,124361,7.99078,7.93277,64
ir,77,286096,8.04483,7.91760,29
ir,78,247763,8.22500,7.91753,12
ir,79,144733,8.06875,7.91517,24
ir,80,175914,8.14194,7.91187,16
ir,81,273085,8.06250,7.90929,24
ir,82,338760,8.64000,7.90569,5
ir,83,271601,8.51667,7.90493,6
ir,84,160010,8.42857,7.90435,7
ir,85,223321,8.30556,7.89878,9
ir,86,285774,8.09000,7.89742,19
ir,87,185343,8.06364,7.89733,22
ir,88,171623,8.02221,7.89184,28
ir,89,170042,7.93173,7.88324,75
ir,90,293014,8.07011,7.87901,19
ir,91,204516,8.60000,7.87504,5
ir,92,272739,8.32437,7.87188,8
ir,93,189932,8.38571,7.86917,7
ir,94,77423,8.46667,7.86507,6
ir,95,150376,7.91015,7.85724,68
ir,96,2651,7.90938,7.85411,65
ir,97,244513,8.45000,7.85178,6
ir,98,268864,7.94316,7.84882,38
ir,99,188920,8.35714,7.84571,7
ir,100,249259,7.99739,7.84199,23
ir,101,162886,7.97600,7.83354,25
ir,102,120677,7.92671,7.82532,35
ir,103,335112,8.41667,7.82521,6
ir,104,297030,8.14536,7.82305,11
ir,105,157354,7.86933,7.82208,75
ir,106,286892,8.07143,7.81866,14
ir,107,270844,8.39000,7.80395,6
ir,108,347400,8.15000,7.79911,10
ir,109,127398,8.50000,7.79843,5
ir,110,231581,8.28571,7.78707,7
ir,111,244522,8.05385,7.78553,13
ir,112,312484,7.89790,7.78539,31
ir,113,230802,7.80341,7.77585,126
ir,114,102794,7.86881,7.77497,37
ir,115,105551,8.35000,7.77206,6
ir,115,281259,8.35000,7.77206,6
ir,117,295947,7.99133,7.76126,15
ir,118,274637,8.33333,7.75878,6
ir,119,306040,8.02308,7.75799,13
ir,120,232043,8.18750,7.75693,8
ir,121,296151,7.86774,7.75664,31
ir,122,256226,7.88846,7.75603,26
ir,123,42,8.01938,7.75468,13
ir,124,175640,8.05455,7.74330,11
ir,125,14996,7.80370,7.74038,54
ir,126,7854,7.94118,7.74007,17
ir,127,234477,7.92778,7.73802,18
ir,128,266965,8.41600,7.73407,5
ir,129,323612,8.30000,7.73220,6
ir,130,146278,7.81466,7.73159,41
ir,131,256526,7.78125,7.72812,64
ir,132,170216,7.74938,7.70727,80
ir,133,104162,8.12750,7.70655,8
ir,134,225694,7.75484,7.70067,62
ir,135,27833,8.03000,7.69500,10
ir,136,181279,8.25000,7.69234,6
ir,137,284617,7.79677,7.68900,31
ir,138,195539,7.80741,7.68396,27
ir,139,291572,7.97273,7.67145,11
ir,140,177590,8.14286,7.66978,7
ir,141,172287,7.87500,7.66818,16
ir,142,110327,7.74754,7.66290,39
ir,143,316554,7.79667,7.65935,24
ir,144,270970,7.93333,7.65877,12
ir,145,290359,7.90769,7.65473,13
ir,146,266966,8.06250,7.65196,8
ir,147,161936,7.78952,7.63440,21
ir,148,183394,7.68534,7.62931,58
ir,149,217083,8.16667,7.62591,6
ir,150,3076,7.76864,7.62146,22
ir,151,233867,7.77143,7.61753,21
ir,152,266967,8.07143,7.61114,7
ir,153,35677,7.80638,7.60553,16
ir,154,136888,8.00000,7.59947,8
ir,154,191189,8.00000,7.59947,8
ir,156,12,8.05714,7.59941,7
ir,156,70149,8.05714,7.59941,7
ir,158,73439,7.71875,7.58609,24
ir,159,200147,7.87273,7.58363,11
ir,160,38545,7.90000,7.58221,10
ir,160,146886,7.90000,7.58221,10
ir,162,148949,7.62432,7.58140,74
ir,163,236191,7.67071,7.57745,34
ir,164,155821,7.68621,7.57690,29
ir,165,122515,7.78800,7.57670,15
ir,166,142379,7.86364,7.57565,11
ir,167,421,7.91822,7.56760,9
ir,168,256730,8.01429,7.56423,7
ir,169,199561,7.60750,7.56375,72
ir,170,269207,8.08333,7.55947,6
ir,171,209685,7.59658,7.55364,73
ir,172,109276,7.86000,7.54751,10
ir,173,201808,7.69048,7.54207,21
ir,174,271324,7.69048,7.54207,21
ir,175,127023,7.62459,7.54043,37
ir,176,242574,7.64310,7.53596,29
ir,177,163839,7.91250,7.52599,8
ir,178,279537,7.95714,7.51731,7
ir,179,244654,7.73571,7.51595,14
ir,180,163967,7.71867,7.51377,15
ir,181,161614,7.61724,7.51139,29
ir,182,205059,7.60250,7.49382,28
ir,183,221194,8.00000,7.49304,6
ir,183,310873,8.00000,7.49304,6
ir,185,364073,7.72308,7.48951,13
ir,186,262712,7.62727,7.48927,22
ir,187,28143,7.71923,7.48607,13
ir,188,156129,7.59630,7.48414,27
ir,189,194594,7.60292,7.47718,24
ir,190,181796,7.65294,7.47558,17
ir,191,34635,7.51154,7.47293,78
ir,192,287954,7.67333,7.47263,15
ir,193,232832,7.73636,7.46388,11
ir,194,68448,7.48410,7.45567,105
ir,195,118048,7.52244,7.44986,41
ir,196,144592,7.94567,7.44972,6
ir,197,209010,8.04000,7.44600,5
ir,198,200680,7.61765,7.44319,17
ir,199,233262,7.93333,7.43989,6
ir,200,204472,7.85714,7.43521,7
ir,201,31260,7.59611,7.43228,18
ir,202,266524,7.70000,7.43195,11
ir,203,176920,7.53571,7.43049,28
ir,204,136063,7.65385,7.42755,13
ir,205,118,7.47069,7.42016,58
ir,206,318084,7.57778,7.41538,18
ir,207,150783,8.00000,7.41536,5
ir,207,261009,8.00000,7.41536,5
ir,209,246784,7.51167,7.41428,30
ir,210,198454,7.62143,7.41290,14
ir,211,119890,7.70000,7.40869,10
ir,212,262215,7.89167,7.40667,6
ir,213,180901,7.54524,7.40667,21
ir,214,265402,7.81429,7.40003,7
ir,215,346703,7.53684,7.38540,19
ir,216,128882,7.42303,7.38517,76
ir,217,166669,7.50000,7.38493,25
ir,218,59959,7.67000,7.38267,10
ir,219,262814,7.47419,7.38156,31
ir,220,222509,7.58571,7.38069,14
ir,221,77130,7.95000,7.37705,5
ir,221,154458,7.95000,7.37705,5
ir,223,45315,7.63636,7.37607,11
ir,223,132531,7.63636,7.37607,11
ir,225,172308,7.51000,7.36749,20
ir,226,244521,7.43415,7.36473,41
ir,227,263918,7.44257,7.36140,35
ir,228,760,7.56429,7.36137,14
ir,229,218603,7.41720,7.36041,50
ir,230,301255,7.75714,7.35311,7
ir,231,273646,7.58333,7.34826,12
ir,232,299960,7.90780,7.34472,5
ir,233,4098,7.65556,7.34302,9
ir,234,311193,7.80950,7.34117,6
ir,235,253948,7.49444,7.33856,18
ir,236,140934,7.39787,7.33818,47
ir,237,304420,7.68750,7.33704,8
ir,238,193037,7.48421,7.33668,19
ir,239,246684,7.64444,7.33352,9
ir,240,135779,7.56667,7.33348,12
ir,241,283355,7.61000,7.33061,10
ir,242,143519,7.56250,7.32978,12
ir,243,244114,7.63889,7.32877,9
ir,244,528,7.55833,7.32609,12
ir,245,97842,7.63333,7.32402,9
ir,246,55427,7.88000,7.32342,5
ir,246,298657,7.88000,7.32342,5
ir,248,150145,7.40484,7.31546,31
ir,249,242302,7.58000,7.30458,10
ir,250,218530,7.42727,7.30225,22
ir,251,205637,7.49857,7.30212,14
ir,252,39463,7.41200,7.30199,25
ir,253,30549,7.32989,7.30096,95
ir,254,87890,7.54364,7.29464,11
ir,255,552,7.84000,7.29277,5
ir,256,10547,7.74667,7.29108,6
ir,257,324856,7.50000,7.28987,13
ir,258,9209,7.32023,7.28849,86
ir,259,306685,7.62500,7.28455,8
ir,260,125618,7.55500,7.28289,10
ir,261,84732,7.67143,7.28274,7
ir,262,198994,7.67143,7.28274,7
ir,263,13,7.31364,7.28272,88
ir,264,25021,7.58333,7.28127,9
ir,265,1917,7.55000,7.27856,10
ir,266,128667,7.66571,7.27805,7
ir,267,54998,7.50000,7.27433,12
ir,268,2511,7.48077,7.27266,13
ir,269,148228,7.29075,7.27223,146
ir,270,256788,7.45714,7.26476,14
ir,271,245654,7.46923,7.26233,13
ir,272,232414,7.80000,7.26213,5
ir,272,242639,7.80000,7.26213,5
ir,274,171,7.35714,7.26115,28
ir,275,195560,7.46623,7.25965,13
ir,276,103343,7.32310,7.25917,42
ir,277,182874,7.36000,7.25298,25
ir,278,219513,7.78000,7.24681,5
